"# The axTLS is a highly configurable Transport Layer Security (TLS) version 1 SSL library for embedded devices"

Requirement ID,Requirement Specification,Rule,Parent Feature,Children Features,Source of Requirement
"AXTLS-1","The axTLS shall select the OS platform","R2","axTLS","OS_Platform","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-1.1","The OS Platform shall use one and only one of the Linux OS, CygWin OS or Win32 OS","R4","OS_Platform","Linux_OS, CygWin_OS, Win32_OS","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-1.1.1","The Win32 OS may use the Win32 crypto library","R3","Win32_OS","Win32_Crypto_Library","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-1.1.2","The Win32 OS shall use the Visual Studio compiler","R2","Win32_OS","Visual_Studio_Compiler","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-1.1.2.1","The Visual Studio compiler shall use one and only one of the compiler version 7.0, compiler version 8.0 or compiler version 10.0","R4","Visual_Studio_Compiler","Version_7_0, Version_8_0, Version_10_0","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-2","The axTLS may select the debug mode","R3","axTLS","Debug_Mode","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-3","The axTLS may select the unwanted section stripping","R3","axTLS","Unwanted_Section_Stripping","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-4","The axTLS shall use the Secure Sockets Layer (SSL) library","R2","axTLS","SSL_Library","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-4.1","The SSL library shall select SSL mode","R2","SSL_Library","SSL_Mode","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-4.1.1","The SSL mode shall use one and only one of the Server Only, the Server Only with Verify, the Server and Client, the Server and Client with Full Diagnostic or the Skeleton mode","R4","SSL_Mode","Server_Only, Server_Only_Verify, Server_Client, Server_Client_Full_Diagnostic, Skeleton_Mode","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-4.1.1.1","The server only with verify mode may select the performance testing","R3","Server_Only_Verify","Performance_Testing","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-4.1.1.2","The server and client full diagnostic mode may select the SSL testing","R3","Server_Client_Full_Diagnostic","SSL_Testing","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-4.2","The SSL library shall select SSL protocol","R3","SSL_Library","SSL_Protocol","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-4.2.1","The SSL protocol shall use one and only one of the low security protocol, the medium security protocol or the high security protocol","R4","SSL_Protocol","Low_Security, Medium_Security, High_Security","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-4.3","The SSL library may use default key","R3","SSL_Library","Default_Key","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-4.4","The SSL library may select X.509 certificate generation","R3","SSL_Library","X509_Cert_Generation","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-4.5","The SSL library may use Privacy Enhanced Mail (PEM) format","R3","SSL_Library","PEM_Format","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-4.6","The SSL library may use Public Key Cryptography Standard (PKCS) 12 format","R3","SSL_Library","PKCS12_Format","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-4.7","The SSL library may use the SSL context mutex","R3","SSL_Library","SSL_Context_Mutex","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-4.8","The SSL library may use the /dev/urandom","R3","SSL_Library","dev_urandom","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-4.9","The SSL library may select OpenSSL Application Programming Interface (API) compatibility","R3","SSL_Library","OpenSSL_API_Compatibility","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-5","The axTLS may use the axTLS wrap","R3","axTLS","axTLS_Wrap","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-6","The axTLS may use the Hypertext Transfer Protocol Secure (HTTPS) Web Server","R3","axTLS","HTTPS_Web_Server","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-6.1","The HTTPS Web Server may use the static build","R3","HTTPS_Web_Server","Static_Build","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-6.2","The HTTPS Web Server may select the directory listing","R3","HTTPS_Web_Server","Directory_Listing","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-6.3","The HTTPS Web Server may use the authorization","R3","HTTPS_Web_Server","Authorization","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-6.4","The HTTPS Web Server may use the IPv6","R3","HTTPS_Web_Server","IPv6","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-6.5","The HTTPS Web Server may select the different user","R3","HTTPS_Web_Server","Different_User","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-6.6","The HTTPS Web Server may use the verbose mode","R3","HTTPS_Web_Server","Verbose_Mode","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-6.7","The HTTPS Web Server may select the daemon process","R3","HTTPS_Web_Server","Daemon_Process","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-6.8","The HTTPS Web Server may use the common gateway interface (CGI)","R3","HTTPS_Web_Server","CGI","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-6.8.1","The common gateway interface (CGI) may use the HTTP library for LUA programming language","R3","CGI","HTTP_LUA","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-6.8.1.1","The HTTP library for LUA may select the LUA build and installation","R3","HTTP_LUA","LUA_Build_Install","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-7","The axTLS may select the language bindings","R3","axTLS","Language_Bindings","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-7.1","The language bindings may use the C# bindings","R3","Language_Bindings","CSharp_Bindings","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-7.2","The language bindings may use the VB .NET bindings","R3","Language_Bindings","VB_NET_Bindings","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-7.3","The language bindings may use the Java bindings","R3","Language_Bindings","Java_Bindings","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-7.4","The language bindings may use the Perl bindings","R3","Language_Bindings","Perl_Bindings","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-7.5","The language bindings may use the LUA bindings","R3","Language_Bindings","LUA_Bindings","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-8","The axTLS may select the axSSL sample generation","R3","axTLS","axSSL_Sample_Generation","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-8.1","The axSSL sample generation may select the C language sample","R3","axSSL_Sample_Generation","C_Language_Sample","synthesized from axTLS-2.1.5 menuconfig"
