"# The PX4_Firmware is root"

Requirement ID,Requirement Specification,Rule,Parent Feature,Children Features,Source of Requirement
"PX4-1","The PX4_Firmware shall select Toolchain","R2","PX4_Firmware","Toolchain",""
"PX4-1.1","The Toolchain shall select Platform","R2","Toolchain","Platform",""
"PX4-1.1.1","The Platform shall select one and only one of PLATFORM_NUTTX, PLATFORM_POSIX, PLATFORM_QURT or PLATFORM_ROS2","R4","Platform","PLATFORM_NUTTX, PLATFORM_POSIX, PLATFORM_QURT, PLATFORM_ROS2",""
"PX4-1.2","The Toolchain may select BOARD_LOCKSTEP","R3","Toolchain","BOARD_LOCKSTEP",""
"PX4-1.3","The Toolchain may select BOARD_NOLOCKSTEP","R3","Toolchain","BOARD_NOLOCKSTEP",""
"PX4-1.4","The Toolchain may select BOARD_LINUX_TARGET","R3","Toolchain","BOARD_LINUX_TARGET",""
"PX4-1.5","The Toolchain may select BOARD_LTO","R3","Toolchain","BOARD_LTO",""
"PX4-1.6","The Toolchain may select BOARD_FULL_OPTIMIZATION","R3","Toolchain","BOARD_FULL_OPTIMIZATION",""
"PX4-1.7","The Toolchain may select BOARD_CONSTRAINED_FLASH","R3","Toolchain","BOARD_CONSTRAINED_FLASH",""
"PX4-1.8","The Toolchain may select BOARD_NO_HELP","R3","Toolchain","BOARD_NO_HELP",""
"PX4-1.9","The Toolchain may select BOARD_CONSTRAINED_MEMORY","R3","Toolchain","BOARD_CONSTRAINED_MEMORY",""
"PX4-1.10","The Toolchain may select BOARD_EXTERNAL_METADATA","R3","Toolchain","BOARD_EXTERNAL_METADATA",""
"PX4-1.11","The Toolchain shall set BOARD_PLATFORM","R2","Toolchain","BOARD_PLATFORM",""
"PX4-1.11.1","The BOARD_PLATFORM shall set one and only one of BOARD_PLATFORM=nuttx, BOARD_PLATFORM=posix, BOARD_PLATFORM=qurt or BOARD_PLATFORM=ros2","R4","BOARD_PLATFORM","BOARD_PLATFORM_eq_nuttx, BOARD_PLATFORM_eq_posix, BOARD_PLATFORM_eq_qurt, BOARD_PLATFORM_eq_ros2",""
"PX4-1.12","The Toolchain shall set BOARD_TOOLCHAIN","R2","Toolchain","BOARD_TOOLCHAIN",""
"PX4-1.12.1","The BOARD_TOOLCHAIN shall set one and only one of BOARD_TOOLCHAIN=, BOARD_TOOLCHAIN=arm-none-eabi, BOARD_TOOLCHAIN=qurt, BOARD_TOOLCHAIN=aarch64-linux-gnu or BOARD_TOOLCHAIN=arm-linux-gnueabihf","R4","BOARD_TOOLCHAIN","BOARD_TOOLCHAIN_eq_None, BOARD_TOOLCHAIN_eq_arm-none-eabi, BOARD_TOOLCHAIN_eq_qurt, BOARD_TOOLCHAIN_eq_aarch64-linux-gnu, BOARD_TOOLCHAIN_eq_arm-linux-gnueabihf",""
"PX4-1.13","The Toolchain shall set BOARD_ARCHITECTURE","R2","Toolchain","BOARD_ARCHITECTURE",""
